trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.95}",25,0,-155.28177754080596,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.8999999999999999}",20,0,-158.3967098887218,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.8499999999999999}",20,0,-85.23868065788072,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.7999999999999998}",35,0,-125.43309253374704,"{0: 24, 1: 5, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.7499999999999998}",30,0,-210.94896885302612,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.6999999999999997}",20,0,-86.99369286418477,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.6499999999999997}",30,0,-72.3603173435819,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.5999999999999996}",20,16,7.869271604886715,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.1, 'e': 0.5499999999999996}",20,0,12.541757959354001,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.4999999999999996}",20,0,-137.621059530307,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
11,False,"{'a': 0.1, 'e': 0.4499999999999996}",30,0,-19.045802403594323,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.39999999999999963}",25,0,-136.4766725587275,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.34999999999999964}",25,0,-98.7508527026668,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.29999999999999966}",25,0,-1.6530398638428192,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.24999999999999967}",25,17,18.328387942605183,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.19999999999999968}",30,0,8.686414856662733,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.1499999999999997}",20,0,-26.171232210250615,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.09999999999999969}",30,0,-78.89683806992343,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.049999999999999684}",20,0,-17.339567867796372,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': -3.191891195797325e-16}",20,0,-28.810782125193207,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-134.85944995882193,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-21.760117555621346,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",35,0,-54.41776408094057,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-23.61893297655064,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-59.26130675481054,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,2,10.13155437805609,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,11,-9.302405722470287,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,21.003783294392093,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,27.255968873407582,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,14.14662169364081,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
