trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.999}",20,12,14.755416672614583,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.1, 'e': 0.998001}",25,0,-185.2166078326656,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.997002999}",25,0,-225.8574314369547,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.996005996001}",30,0,-125.25000469790847,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.995009990004999}",20,0,-153.63921791172197,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.994014980014994}",20,6,-76.44178078300693,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 2}",1
7,False,"{'a': 0.1, 'e': 0.993020965034979}",20,0,-76.00802741180382,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.992027944069944}",20,0,-74.6066898305358,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.991035916125874}",20,0,-55.559665770363,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.9900448802097482}",25,0,-120.43350065192004,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.9890548353295384}",25,0,-136.14036684571894,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9880657804942089}",30,0,-47.185693350303275,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.9870777147137147}",20,0,-121.04895149276449,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.986090636999001}",25,0,-102.19023231142215,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.985104546362002}",25,0,-238.07849002528008,"{0: 12, 1: 4, 2: 3, 3: 2, 4: 4}",0
16,False,"{'a': 0.1, 'e': 0.9841194418156399}",20,0,-73.63677431715787,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.9831353223738244}",20,0,-81.61506082035226,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.9821521870514505}",25,8,-130.82616550222815,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 3}",1
19,False,"{'a': 0.1, 'e': 0.981170034864399}",25,0,-111.31645687417561,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.9801888648295347}",30,0,-115.90772482856998,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.9792086759647052}",20,0,-160.60585260984266,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
22,False,"{'a': 0.1, 'e': 0.9782294672887404}",30,0,-188.58145212758058,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
23,False,"{'a': 0.1, 'e': 0.9772512378214517}",25,0,-80.14522744260348,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.1, 'e': 0.9762739865836302}",25,0,-77.1585295326905,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
25,False,"{'a': 0.1, 'e': 0.9752977125970466}",20,0,-121.3655227173299,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.1, 'e': 0.9743224148844496}",20,0,-105.0458489706977,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
27,False,"{'a': 0.1, 'e': 0.9733480924695651}",25,0,-121.17935327302004,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
28,False,"{'a': 0.1, 'e': 0.9723747443770956}",25,0,-122.34621715747174,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.1, 'e': 0.9714023696327184}",35,0,-123.7983428651892,"{0: 25, 1: 0, 2: 7, 3: 2, 4: 1}",0
30,False,"{'a': 0.1, 'e': 0.9704309672630858}",30,0,-106.40103644947106,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.9694605362958226}",30,0,-136.71524199862273,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
32,False,"{'a': 0.1, 'e': 0.9684910757595268}",20,0,-120.99372842666959,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.9675225846837673}",25,0,-103.94964629577412,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
34,False,"{'a': 0.1, 'e': 0.9665550620990835}",25,0,-67.56203236300978,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.1, 'e': 0.9655885070369844}",30,0,-120.25752284158345,"{0: 19, 1: 2, 2: 5, 3: 4, 4: 0}",0
36,False,"{'a': 0.1, 'e': 0.9646229185299474}",20,0,-96.92329051246678,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.1, 'e': 0.9636582956114175}",20,6,-61.59232793052714,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
38,False,"{'a': 0.1, 'e': 0.9626946373158061}",25,0,-124.21356596155452,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
39,False,"{'a': 0.1, 'e': 0.9617319426784903}",20,0,-121.19270348878428,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
40,False,"{'a': 0.1, 'e': 0.9607702107358118}",30,0,-52.67503573270462,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
41,False,"{'a': 0.1, 'e': 0.959809440525076}",25,0,-109.32828161822235,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
42,False,"{'a': 0.1, 'e': 0.9588496310845509}",20,16,5.987822094815916,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.9578907814534663}",20,0,-106.53260507316944,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
44,False,"{'a': 0.1, 'e': 0.9569328906720129}",30,18,5.520066143621696,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.9559759577813408}",20,0,-112.04422094952682,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.9550199818235595}",25,0,-62.696387078056695,"{0: 13, 1: 9, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.1, 'e': 0.954064961841736}",25,0,-124.04215720336143,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
48,False,"{'a': 0.1, 'e': 0.9531108968798943}",20,0,-64.03240822688099,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.9521577859830144}",25,0,-83.35153018077044,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.9512056281970314}",20,0,-198.3515393874915,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
51,False,"{'a': 0.1, 'e': 0.9502544225688343}",30,0,-118.51226047556688,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
52,False,"{'a': 0.1, 'e': 0.9493041681462654}",30,0,-181.04898674569566,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
53,False,"{'a': 0.1, 'e': 0.9483548639781192}",30,0,-141.47769278694338,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
54,False,"{'a': 0.1, 'e': 0.947406509114141}",25,0,-191.77949364832153,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
55,False,"{'a': 0.1, 'e': 0.9464591026050269}",30,0,-242.333749722652,"{0: 16, 1: 4, 2: 4, 3: 2, 4: 4}",0
56,False,"{'a': 0.1, 'e': 0.9455126435024219}",20,0,-93.58790847417094,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.1, 'e': 0.9445671308589194}",20,0,-53.12335090924573,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.9436225637280605}",25,0,-188.38321738245077,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
59,False,"{'a': 0.1, 'e': 0.9426789411643325}",25,0,-119.23202124288136,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.9417362622231682}",30,0,-117.87532376776512,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
61,False,"{'a': 0.1, 'e': 0.9407945259609449}",20,0,-71.344073063703,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.1, 'e': 0.9398537314349841}",20,0,-62.144158402670215,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
63,False,"{'a': 0.1, 'e': 0.9389138777035491}",20,0,-148.86236029993992,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
64,False,"{'a': 0.1, 'e': 0.9379749638258454}",20,1,-78.49547149712676,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
65,False,"{'a': 0.1, 'e': 0.9370369888620197}",20,0,-132.45433891143762,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
66,False,"{'a': 0.1, 'e': 0.9360999518731576}",25,0,-95.2980200313757,"{0: 13, 1: 1, 2: 11, 3: 0, 4: 0}",0
67,False,"{'a': 0.1, 'e': 0.9351638519212845}",20,0,-78.57174157146693,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
68,False,"{'a': 0.1, 'e': 0.9342286880693632}",20,0,-85.59027868731874,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
69,False,"{'a': 0.1, 'e': 0.9332944593812939}",25,0,-76.4027306279001,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
70,False,"{'a': 0.1, 'e': 0.9323611649219126}",25,0,-1.7532612593085959,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.1, 'e': 0.9314288037569907}",25,0,-64.7319409316618,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.1, 'e': 0.9304973749532336}",35,0,-226.37691421557676,"{0: 21, 1: 4, 2: 5, 3: 1, 4: 4}",0
73,False,"{'a': 0.1, 'e': 0.9295668775782804}",20,0,-148.51510986310575,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
74,False,"{'a': 0.1, 'e': 0.9286373107007021}",20,0,-126.40646446326646,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
75,False,"{'a': 0.1, 'e': 0.9277086733900014}",30,0,-80.1998594851162,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.9267809647166114}",20,0,-83.13399245434582,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
77,False,"{'a': 0.1, 'e': 0.9258541837518948}",20,0,-133.29439575629965,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
78,False,"{'a': 0.1, 'e': 0.9249283295681429}",30,21,5.734045623893023,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.1, 'e': 0.9240034012385747}",20,0,-111.65486682713723,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
80,False,"{'a': 0.1, 'e': 0.9230793978373362}",25,5,-11.966563095634346,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.9221563184394989}",35,0,-220.66942789131514,"{0: 20, 1: 3, 2: 6, 3: 3, 4: 3}",0
82,False,"{'a': 0.1, 'e': 0.9212341621210594}",20,0,-102.29420823990733,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
83,False,"{'a': 0.1, 'e': 0.9203129279589383}",20,8,-12.525332169710806,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.9193926150309794}",25,0,-186.768065144579,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
85,False,"{'a': 0.1, 'e': 0.9184732224159483}",30,0,-72.65850743420862,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
86,False,"{'a': 0.1, 'e': 0.9175547491935324}",20,0,-39.38726429781104,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.1, 'e': 0.9166371944443389}",25,0,-124.69395599737972,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
88,False,"{'a': 0.1, 'e': 0.9157205572498945}",35,0,-242.6958690913975,"{0: 21, 1: 4, 2: 3, 3: 3, 4: 4}",0
89,False,"{'a': 0.1, 'e': 0.9148048366926447}",25,1,-87.2963028479483,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 2}",1
90,False,"{'a': 0.1, 'e': 0.913890031855952}",20,0,-43.65497037562961,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
91,False,"{'a': 0.1, 'e': 0.912976141824096}",30,0,-212.53553216817457,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
92,False,"{'a': 0.1, 'e': 0.912063165682272}",25,0,-152.36768739600325,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
93,False,"{'a': 0.1, 'e': 0.9111511025165897}",20,3,-32.42198581158513,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
94,False,"{'a': 0.1, 'e': 0.9102399514140731}",30,0,-188.66107381533732,"{0: 14, 1: 4, 2: 8, 3: 3, 4: 1}",0
