trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-143.5902128,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-36.08661568,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-33.44610563,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-114.1109901,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
5,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-107.3880997,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-272.8005023,"{0: 10, 1: 3, 2: 5, 3: 3, 4: 4}",0
7,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-133.1524962,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
8,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-166.0962245,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
9,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-210.4668604,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
10,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-62.95414156,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
11,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-164.7740906,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
12,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-136.3522496,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
13,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-165.9637639,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
14,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-118.7391893,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
15,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-134.6972695,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
16,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-176.8516592,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
17,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-118.4355203,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
18,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-68.35363614,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
19,FALSE,"{'a': 0.5, 'e': 1.0}",35,0,-241.1693478,"{0: 19, 1: 4, 2: 6, 3: 3, 4: 3}",0
