trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-61.31137847879288,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-70.23294948706872,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-113.74719343281167,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-137.40961441896093,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,13,-95.43091969472903,"{0: 5, 1: 1, 2: 4, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-155.70313341998175,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",35,0,-275.9938076723537,"{0: 18, 1: 3, 2: 8, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-117.14951464891126,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-114.86833704372367,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,5,-70.7293532758485,"{0: 8, 1: 0, 2: 6, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-31.672309166652717,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-78.4124105926438,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-81.77353694635302,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,0,-247.07502956371775,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-202.0811582792354,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-100.3160395719194,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-129.17342168748317,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-69.26958163130209,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-153.47775905200956,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-83.82593339042685,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",35,0,-177.72934047759088,"{0: 22, 1: 3, 2: 5, 3: 3, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",35,5,-113.98351570421526,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",20,0,-60.95273689103537,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-55.91304669955063,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-99.95707131793564,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-100.23564879018257,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-215.03964274994848,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-119.20416411822974,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-120.8653378804586,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-119.50202875084364,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
